INDEX,targetlat,targetlon,GPSINDEX,GPS_TIME,Date_time,DATE_only,Source,RE_SIGHTING,RESIGHTING_no,SPECIES,groupid,RADIALDIST,ESTIMATEDA,ASPECTVALU,THEO,BINOC,photoid,LOWNUMBER,BESTNUMBER,HIGHNUMBER,CALVES,CUE,BEHAVIOUR,COMMENT,DATE,BUTTONREF,vardir,#_SUB_GR,#_ANIMAL,SPAC,CALF_ASSOC,LINE,SYN,MIL,DIST,BR,SH,LOG,TS,IC,TORPEDO,FLUKES,HB,PAIRED,RESIGHTING,TIME,year,vessel,focal_follow,interval,SEA_Land_no,,,,
181,38.564703,-27.320515,758592,7/10/15 14:23,7/10/15 14:23,7/10/15,sea,sighting,553,Gg,,45,30,110,0,0,-1,9,11,13,0,BY    ,SO    ,animals of group 550 and 551; start trackiong; staRT acoustic                                        ,7/10/15 14:23,4737,0,,,,,,,0,,,,,,,,,,,,14:23:16,2015,orion,,,,,,,
533,38.560535,-27.317445,759109,7/10/15 14:32,7/10/15 14:32,7/10/15,sea,resighting,553,Gg,,40,60,130,0,-1,0,8,8,9,0,,ST    ,"7B WHITEADLTS, ONE DARK                                                                              ",7/10/15 14:32,4738,0,3,16,1,0,1,2,0,40,,,,,,,,,0,6096,14:32:01,2015,orion,,,,,,,
534,38.558974,-27.316051,759331,7/10/15 14:35,7/10/15 14:35,7/10/15,sea,resighting,553,Gg,,35,60,160,0,-1,0,,8,,0,,,"7B WHITE plus 1 dark, 2 mc pais in two seperate4 subgr closeby                                       ",7/10/15 14:35,4739,0,3,13,1,0,2,0,0,40,0,,,,,,,,0,6097,14:35:47,2015,orion,,,,,,,
535,38.557732,-27.315117,759484,7/10/15 14:38,7/10/15 14:38,7/10/15,sea,resighting,553,Gg,,35,110,160,0,-1,0,,8,,0,,,,7/10/15 14:38,4740,0,3,13,1,0,2,1,0,45,,,,,1,,,,-1,6098,14:38:22,2015,orion,,,,,,,
536,38.556885,-27.314261,759671,7/10/15 14:41,7/10/15 14:41,7/10/15,sea,resighting,553,Gg,,35,340,250,0,-1,0,,8,,0,,ST    ,,7/10/15 14:41,4741,0,3,13,1,0,0,2,0,100,0,,,,,,,,0,6099,14:41:32,2015,orion,,,,,,,
537,38.554372,-27.31527,759941,7/10/15 14:46,7/10/15 14:46,7/10/15,sea,resighting,553,Gg,,80,220,130,0,-1,0,,8,,0,,,passing sunfish                                                                                      ,7/10/15 14:46,4742,0,3,15,1,0,0,1,0,50,,,,,,,,5,0,6100,14:46:32,2015,orion,,,,,,,
538,38.551479,-27.315112,760264,7/10/15 14:51,7/10/15 14:52,7/10/15,sea,resighting,553,Gg,,70,240,180,0,-1,0,,13,,0,,, wit 1 donker 2x mc                                                                                  ,7/10/15 14:52,4743,0,1,13,2,0,0,0,0,400,0,,,,,,,,0,6101,14:52:00,2015,orion,,,,,,,
539,38.547788,-27.314519,760640,7/10/15 14:58,7/10/15 14:58,7/10/15,sea,resighting,553,Gg,,55,280,180,0,-1,0,,12,,0,,,"7 white 1 dark, 2 mc both  dark subg in front 551 3x mc pairs seen before                            ",7/10/15 14:58,4744,0,1,12,1,0,2,0,0,400,0,,,,,,,,0,6102,14:58:23,2015,orion,,,,,,,
540,38.545705,-27.314525,760829,7/10/15 15:01,7/10/15 15:01,7/10/15,sea,resighting,553,Gg,,55,270,180,0,-1,0,,10,,0,,,distance to second mc pair                                                                           ,7/10/15 15:01,4745,0,2,12,1,0,0,0,0,100,0,,,,,,,,-1,6103,15:01:36,2015,orion,,,,,,,
541,38.543486,-27.31431,761032,7/10/15 15:05,7/10/15 15:05,7/10/15,sea,resighting,553,Gg,,65,2401,180,0,-1,0,,10,,0,,ST    ,1 x headbang in sbgr                                                                                 ,7/10/15 15:05,4746,0,3,13,2,0,0,0,0,60,0,,,,,,,,0,6104,15:05:04,2015,orion,,,,,,,
542,38.54094,-27.314585,761256,7/10/15 15:08,7/10/15 15:08,7/10/15,sea,resighting,553,Gg,,75,250,200,0,-1,0,,10,,0,,,"5x headb in subgr, heavy pm acoustics                                                                ",7/10/15 15:08,4747,0,3,13,1,0,0,0,0,50,0,,,,,,,,0,6105,15:08:53,2015,orion,,,,,,,
543,38.538413,-27.31534,761474,7/10/15 15:12,7/10/15 15:12,7/10/15,sea,resighting,553,Gg,,80,300,180,0,-1,0,,11,,0,,,group 550 80m in front                                                                               ,7/10/15 15:12,4748,0,4,21,1,0,0,0,0,40,0,,,,,,,,0,6106,15:12:34,2015,orion,,,,,,,
